date,open,high,low,close,volume
2025-03-21,151.65,153.84,150.11,152.23,17620220
2025-03-24,156.34,156.605,154.03,154.87,7848332
2025-03-25,154.51,155.6,153.05,153.93,8521249
2025-03-26,152.89,153.03,146.56,147.8,13222520
2025-03-27,145.85,147.04,144.92,145.78,9148321
2025-03-28,143.78,145.65,139.11,140.87,13144490
2025-03-31,138.64,140.59,136.76,139.81,15509920
2025-04-01,139.76,143.25,138.76,141.94,9518457
2025-04-02,139.86,147.89,139.86,145.86,11594430
2025-04-03,139.25,141.4,136.64,137.23,14433770
2025-04-04,132.91,133.82,126.95,128.27,14986860
2025-04-07,118.86,134.11,118.86,127.16,19482650
2025-04-08,132.54,132.99,121.695,124.5,11950280
2025-04-09,123.4,140.59,123.4,139.69,17761990
2025-04-10,136.65,136.65,129.255,133.35,12401560
2025-04-11,132.11,133.0,128.84,132.35,10190180
2025-04-14,136.8,136.8,132.87,134.64,8217740
2025-04-15,134.76,136.482,133.72,133.94,8629959
2025-04-16,132.28,132.5368,127.85,129.76,8295176
2025-04-17,130.9,131.3,128.44,128.62,8925522
2025-04-21,126.885,127.195,121.235,122.82,12201230
2025-04-22,124.5,127.99,123.39,127.24,11233700
2025-04-23,134.91,135.87,130.99,131.4,9528873
2025-04-24,132.51,137.86,132.0,137.51,7305887
2025-04-25,137.49,139.0,136.755,138.49,5476378
2025-04-28,139.65,140.67,138.08,140.14,6985102
2025-04-29,139.81,141.16,139.55,140.79,4851458
2025-04-30,138.48,141.3,135.565,140.72,9443538
2025-05-01,146.56,148.64,145.335,145.49,11525750
2025-05-02,148.33,153.06,148.33,150.73,11345980
2025-05-05,149.435,150.82,148.5201,149.29,5187449
2025-05-06,146.98,148.941,145.72,147.7,5108595
2025-05-07,147.5,149.9,147.24,149.37,6051937
2025-05-08,149.05,151.81,148.61,150.3,6113612
2025-05-09,150.04,151.7991,149.79,150.34,4707130
2025-05-12,156.31,157.43,154.4165,157.22,7875461
2025-05-13,158.22,163.22,157.57,162.27,11955160
2025-05-14,162.36,163.41,161.0578,162.95,7499392
2025-05-15,161.36,161.74,158.91,159.4,10169220
2025-05-16,160.0,160.84,158.52,160.49,8515458
2025-05-19,158.3,161.9699,157.8289,159.64,10268920
2025-05-20,158.63,160.36,157.53,160.31,7576418
2025-05-21,158.35,160.9,156.459,157.18,6011038
2025-05-22,156.975,159.19,156.82,157.31,7603261
2025-05-23,154.99,157.375,154.2572,155.97,6527516
2025-05-27,159.32,162.4,158.92,161.91,6976813
2025-05-28,161.865,164.32,161.28,163.85,8090652
2025-05-29,165.0,165.32,161.49,162.9,6995831
2025-05-30,163.43,165.75,161.5501,165.53,17547860
2025-06-02,164.165,167.0,162.6,166.57,7165969
2025-06-03,166.8,169.33,166.59,169.14,7155281
2025-06-04,169.71,170.48,167.57,168.1,6375793
2025-06-05,169.0,172.2599,168.755,171.14,7710284
2025-06-06,174.0,174.79,172.6601,174.02,6833674
2025-06-09,174.86,178.72,173.79,177.15,9668911
2025-06-10,177.71,177.85,174.28,177.48,11056720
2025-06-11,177.55,179.55,176.2,176.38,18002910
2025-06-12,189.96,202.49,188.88,199.86,54610000
2025-06-13,201.58,216.5999,201.2,215.22,53707360
2025-06-16,213.2,215.17,209.9763,211.1,22665300
2025-06-17,210.66,215.88,207.4805,208.18,17819160
2025-06-18,211.085,214.7199,209.5701,210.87,15055390
2025-06-20,213.35,213.8,204.64,205.17,20879100
2025-06-23,205.505,207.27,202.54,207.04,13418390
2025-06-24,209.99,216.365,208.55,215.27,19030620
2025-06-25,214.9399,216.9299,210.23,210.72,11804600
2025-06-26,212.0,214.42,210.3587,212.82,10531110
2025-06-27,213.69,214.65,209.96,210.24,14127500
2025-06-30,226.5,228.22,218.3801,218.63,31844230
2025-07-01,219.3,223.17,216.3079,218.96,16962200
2025-07-02,217.68,231.9,216.72,229.98,22326900
2025-07-03,233.22,237.9899,231.2,237.32,18441380
2025-07-07,235.11,235.25,229.5,232.26,16584270
2025-07-08,237.13,241.4385,233.19,234.5,20401780
2025-07-09,235.51,236.51,232.0,235.81,10871630
2025-07-10,239.94,240.055,233.5,235.0,11486350
2025-07-11,231.37,234.0,229.87,230.56,10208180
2025-07-14,229.45,230.64,225.12,229.28,11336970
2025-07-15,232.405,235.6,229.2,234.96,10728800
2025-07-16,235.5,241.33,233.19,241.3,12597450
2025-07-17,243.34,251.5999,242.01,248.75,17631330
2025-07-18,248.5,249.68,245.0,245.45,9678072
2025-07-21,245.31,246.8,243.24,243.54,7348362
2025-07-22,241.98,242.29,235.4101,238.11,11380870
2025-07-23,239.95,243.42,238.66,241.9,7255797
2025-07-24,242.41,244.08,240.5601,242.83,8237851
2025-07-25,242.34,245.47,241.43,245.12,7149571
2025-07-28,246.0,247.78,243.42,247.71,6756775
2025-07-29,248.7,253.07,246.59,249.98,8415324
2025-07-30,248.64,251.05,245.6,250.6,8441378
2025-07-31,255.765,260.87,253.318,253.77,15548730
2025-08-01,247.83,248.41,242.0,244.42,12718220
2025-08-04,245.9,252.91,245.9,252.53,8614784
2025-08-05,255.41,258.4872,251.37,255.67,11197290
2025-08-06,256.84,256.84,251.72,256.43,9930222
2025-08-07,257.71,257.76,246.52,249.39,11954220
2025-08-08,250.03,250.8934,247.86,250.05,8313278
2025-08-11,248.4,254.69,245.56,252.68,9012112
2025-08-12,252.58,257.87,251.08,253.86,10001710
2025-08-13,257.17,257.6699,242.635,244.18,14182080
2025-08-14,244.95,248.92,242.57,244.96,10285560
2025-08-15,246.92,250.63,242.925,248.28,11553990
2025-08-18,246.2,249.16,243.62,249.07,6759921
2025-08-19,249.25,249.25,232.23,234.62,16819250
2025-08-20,232.18,235.88,228.2543,235.06,11256420
2025-08-21,233.045,235.9199,232.43,233.16,7403128
2025-08-22,234.06,238.5,231.46,236.37,9343637
2025-08-25,237.35,239.03,235.27,235.41,6308625
2025-08-26,235.0,236.905,232.71,234.21,11805200
2025-08-27,234.995,236.53,232.68,235.81,5637590
2025-08-28,235.54,241.95,235.12,240.32,8691548
2025-08-29,237.61,238.22,223.11,226.13,16618640
2025-09-02,222.0,225.45,218.79,225.3,10461900
2025-09-03,225.9,225.9,221.75,223.45,8900813
2025-09-04,222.0,223.57,219.5601,223.0,10303070
2025-09-05,232.55,234.62,225.885,232.8,15386100
2025-09-08,239.89,242.42,235.31,238.48,18803050
2025-09-09,239.94,243.49,234.56,241.51,41178700
2025-09-10,319.19,345.72,312.09,328.33,131618100
2025-09-11,330.34,331.0,304.6,307.86,69986030
2025-09-12,305.79,307.97,291.75,292.18,51781910
2025-09-15,306.45,307.03,297.29,302.14,40004000
2025-09-16,314.06,319.97,302.2724,306.65,51923270
2025-09-17,307.69,308.66,295.03,301.41,27707950
2025-09-18,303.035,303.82,292.0,296.62,24673120
2025-09-19,299.0,311.11,297.32,308.66,40776200
2025-09-22,309.63,329.5,306.92,328.15,44437550
2025-09-23,324.0,325.0,310.05,313.83,35280200
2025-09-24,311.86,312.47,300.03,308.46,33765280
2025-09-25,295.27,298.75,288.55,291.33,39274880
2025-09-26,293.0,294.0,283.0,283.46,25990690
2025-09-29,284.6,285.98,279.61,282.76,25778510
2025-09-30,283.69,284.0,275.9,281.24,23880810
2025-10-01,278.8,289.99,277.88,289.01,23378320
2025-10-02,291.8,294.97,286.05,288.78,16215460
2025-10-03,289.6,294.64,284.0,286.14,13688410
2025-10-06,292.38,296.68,290.8,291.59,14076800
2025-10-07,293.22,293.22,271.0,284.24,31723380
2025-10-08,285.42,291.53,283.6,288.63,18982120
2025-10-09,291.55,300.97,287.26,296.96,26479830
2025-10-10,300.28,307.72,292.01,292.96,28895340
2025-10-13,298.7,310.7,297.74,308.01,21703730
2025-10-14,303.57,304.42,291.98,299.0,17346190
2025-10-15,304.9,311.01,298.92,303.62,13698940
2025-10-16,305.6,322.54,303.07,313.0,32500860
2025-10-17,303.75,304.28,287.5,291.31,37653000
